Article/Prefix,Word,English Translation,Example Sentence,English Translation (Sentence),POS
,infolge,as a result of,Infolge des starken Regens kam es zu Überschwemmungen.,Flooding occurred as a result of the heavy rain.,Prep
,informativ,informative,Der Vortrag über die neuen Steuermodelle war sehr informativ.,The presentation on the new tax models was very informative.,Adj
,infrage kommen,are eligible,Diese Lösung kommt für uns leider nicht infrage.,"Unfortunately, this solution is not an option for us.",V
die,"Innenstadt, -ä-e",City center,Die Parkgebühren in der Innenstadt wurden erhöht.,Parking fees in the city center have been increased.,N
die,"Innovation, -en",Innovation,Das Unternehmen investiert viel in Forschung und Innovation.,The company invests heavily in research and innovation.,N
,innovativ,innovative,Wir suchen nach innovativen Ideen für unser neues Produkt.,We are looking for innovative ideas for our new product.,Adj
,insbesondere,in particular,"Ich mag alle Früchte, insbesondere aber Äpfel.","I like all fruits, but especially apples.",Adv
die,"Inspektion, -en",Inspection,Das Auto muss nächste Woche zur Inspektion in die Werkstatt.,The car needs to go to the garage for inspection next week.,N
der/die,"Installateur/in, -e/-nen",Installer/Plumber,Der Installateur hat das Rohr im Badezimmer repariert.,The plumber repaired the pipe in the bathroom.,N
die,"Installateurfirma, -en",Installation company(ies),Wir haben eine Installateurfirma mit den Arbeiten beauftragt.,We have hired a plumbing company to do the work.,N
die,"Institution, -en",Institution,Die Universität ist eine wichtige gesellschaftliche Institution.,The university is an important social institution.,N
die,"Interessenvertretung, -en",Interest representation,Die Gewerkschaft fungiert als Interessenvertretung der Arbeitnehmer.,The trade union acts as a representative body for the interests of the employees.,N
,interviewen,interview,Der Journalist möchte den Politiker zu diesem Thema interviewen.,The journalist wants to interview the politician on this topic.,V
,intim,intimate,Diese Frage betrifft einen sehr intimen Bereich meines Lebens.,This question concerns a very intimate area of ​​my life.,Adv
das,"Intranet, -s",Intranet,Alle wichtigen Formulare finden Sie in unserem Intranet.,All important forms can be found on our intranet.,N
die,"Intranetseite, -n",Intranet page,Auf der Intranetseite der Abteilung gibt es Neuigkeiten.,There is news on the department's intranet page.,N
,investieren,invest,Wir müssen mehr Geld in die Weiterbildung unserer Mitarbeiter investieren.,We need to invest more money in the further training of our employees.,V
die,"Investition, -en",Investment,Diese Investition wird sich langfristig für uns auszahlen.,This investment will pay off for us in the long run.,N
der,"Irrtum, -ü-er",Error,Das war leider ein großer Irrtum meinerseits.,That was unfortunately a big mistake on my part.,N
die,"IT-Branche, -n",IT industry,In der IT-Branche gibt es derzeit viele offene Stellen.,There are currently many job openings in the IT industry.,N
der,"Jahresüberblick, -e",Annual overview,Der Chef gab uns einen kurzen Jahresüberblick über die Projekte.,The boss gave us a brief overview of the projects for the year.,N
die,"Jobbörse, -n",Job board,Im Internet gibt es viele Jobbörsen für die Stellensuche.,There are many job portals on the internet for job searches.,N
die,"Jobmesse, -n",Job fair,Auf der Jobmesse können Sie direkt mit Unternehmen sprechen.,"At the job fair, you can speak directly with companies.",N
das,"Jubiläum, -en",Anniversary,Nächstes Jahr feiern wir das 50-jährige Jubiläum unserer Firma.,Next year we will celebrate the 50th anniversary of our company.,N
,jüdisch,Jewish,In dieser Stadt gibt es eine große jüdische Gemeinde.,This city has a large Jewish community.,Adj
die,"Jugendfreizeitstätte, -n",Youth center,Die neue Jugendfreizeitstätte bietet viele Aktivitäten an.,The new youth center offers many activities.,N
die,"Jugendsozialarbeit, -",Youth social work,Die Jugendsozialarbeit hilft Jugendlichen in schwierigen Situationen.,Youth social work helps young people in difficult situations.,N
das,"Juwel, -e",Jewel,Dieses alte Gebäude ist ein wahres Juwel der Architektur.,This old building is a true architectural gem.,N
der,"Kaffeesatz, -ä-e",Coffee grounds,Der Kaffeesatz kann als Dünger für Pflanzen verwendet werden.,Coffee grounds can be used as fertilizer for plants.,N
der,"Kaffeesatzbehälter, -",Coffee grounds container,Bitte leeren Sie den Kaffeesatzbehälter der Kaffeemaschine.,Please empty the coffee grounds container of the coffee machine.,N
die,"Kampagne, -n",Campaign,Die neue Werbekampagne war ein großer Erfolg.,The new advertising campaign was a great success.,N
,kämpferisch,combative,Die Mannschaft zeigte sich im Spiel sehr kämpferisch.,The team showed great fighting spirit in the game.,Adj
die,"Kapazität, -en",Capacity,Unsere Fabrik hat ihre maximale Kapazität erreicht.,Our factory has reached its maximum capacity.,N
das,"Kapital, -e",Capital,Für die Gründung eines Unternehmens braucht man ausreichend Kapital.,"To start a business, you need sufficient capital.",N
,katholisch,Catholic,Sie ist in einem streng katholischen Elternhaus aufgewachsen.,She grew up in a strictly Catholic family.,Adj
,kaufmännisch,commercial,Er macht eine Ausbildung im kaufmännischen Bereich.,He is doing an apprenticeship in the commercial sector.,Adj
der,"Kaufzeitpunkt, -e",Purchase date,Der ideale Kaufzeitpunkt für diese Aktie ist jetzt.,The ideal time to buy this stock is now.,N
der,"Keim, -e",Germ,Durch gründliches Händewaschen kann man Keime abtöten.,Thorough handwashing can kill germs.,N
die,"Kernarbeitszeit, -en",Core working hours,Die Kernarbeitszeit in unserem Büro ist von 10 bis 15 Uhr.,The core working hours in our office are from 10 am to 3 pm.,N
die,"Kfz-Steuer, -n",Vehicle tax,Die Kfz-Steuer wird einmal im Jahr abgebucht.,Vehicle tax is collected once a year.,N
das,"Kindergeld, -er",Child benefit,Eltern haben in Deutschland Anspruch auf Kindergeld.,Parents in Germany are entitled to child benefit.,N
die,"Kirchensteuer, -n",Church tax,Mitglieder der Kirche müssen Kirchensteuer bezahlen.,Church members must pay church tax.,N
die,"Klage, -n",Complaint,Die Klage gegen das Unternehmen wurde vom Gericht abgewiesen.,The lawsuit against the company was dismissed by the court.,N
die,"Klarheit, -",Clarity,Wir brauchen endlich Klarheit über die zukünftigen Pläne.,We finally need clarity about future plans.,N
die,"Kleinigkeit, -en",Small thing,Wir haben uns nur wegen einer Kleinigkeit gestritten.,We only argued about something minor.,N
das,"Klima, -ta",Climate,Das Klima in dieser Region ist sehr mild.,The climate in this region is very mild.,N
der,"Klimawandel, -",Climate change,Der Klimawandel ist eine der größten Herausforderungen unserer Zeit.,Climate change is one of the greatest challenges of our time.,N
die,"Klinik, -en",Clinic,Er arbeitet als Arzt in einer großen Klinik.,He works as a doctor in a large clinic.,N
das,"Klinikzentrum, -en",Clinic center,Das neue Klinikzentrum bietet modernste medizinische Versorgung.,The new clinic center offers state-of-the-art medical care.,N
das,"Know-how, -",Know-how,Wir brauchen für dieses Projekt spezielles technisches Know-how.,We need specific technical expertise for this project.,N
,knüpfen: Kontakte knüpfen,to make contacts,Auf der Messe konnte ich viele wertvolle Kontakte knüpfen.,I was able to make many valuable contacts at the trade fair.,V
,kollegial,collegial,Die Zusammenarbeit in unserem Team ist sehr kollegial.,The collaboration within our team is very collegial.,Adj
die,"Kombination, -en",Combination,Diese Kombination von Farben gefällt mir sehr gut.,I really like this combination of colors.,N
,kombinieren,combine,Man kann diese beiden Methoden auch miteinander kombinieren.,These two methods can also be combined.,V
,kommerziell,commercially,Das Projekt war kommerziell leider nicht sehr erfolgreich.,"Unfortunately, the project was not very commercially successful.",Adj
,kommunal,municipal,Die kommunale Verwaltung ist für die Müllabfuhr zuständig.,The local authority is responsible for waste collection.,Adj
das,"Kommunikationsmittel, -",Means of communication,Das Smartphone ist heute das wichtigste Kommunikationsmittel.,"Today, the smartphone is the most important means of communication.",N
,kompetent,competent,Wir suchen eine kompetente Fachkraft für diese Position.,We are looking for a competent professional for this position.,Adj
die,"Kompetenz, -en",Competence,Sie verfügt über eine hohe soziale Kompetenz.,She possesses a high level of social competence.,N
,komplex,complex,"Das ist ein sehr komplexes Problem, das Zeit braucht.",This is a very complex problem that will take time.,Adv
die,"Komponente, -n",Component,Diese Komponente ist für die Funktion des Geräts wichtig.,This component is important for the device to function.,N
,konfigurieren,configure,"Sie müssen den Router konfigurieren, bevor Sie ihn nutzen können.",You need to configure the router before you can use it.,V
der,"Konfliktfall, -ä-e",Conflict case,Im Konfliktfall sollten Sie sich an den Betriebsrat wenden.,"In case of conflict, you should contact the works council.",N
der,"Konfliktlösungsstil, -e",Conflict resolution style,Jeder Mensch hat einen eigenen Konfliktlösungsstil.,Everyone has their own conflict resolution style.,N
der,"Konfliktratgeber, -",Conflict guide,Dieser Konfliktratgeber bietet gute Tipps für den Alltag.,This conflict resolution guide offers good tips for everyday life.,N
,konfrontieren,confront,Ich musste ihn mit den Vorwürfen konfrontieren.,I had to confront him with the accusations.,V
die,"Königin, -en",Queen,Die Königin von England ist sehr beliebt.,The Queen of England is very popular.,N
die,"Konjunktur, -en",Economic situation,Die wirtschaftliche Konjunktur hat sich wieder erholt.,The economy has recovered.,N
,konstruktiv,constructive,Das war ein sehr konstruktives Gespräch mit vielen guten Ideen.,That was a very constructive conversation with many good ideas.,Adj
die,"Kontaktaufnahme, -n",Contact,Wir freuen uns auf Ihre baldige Kontaktaufnahme.,We look forward to hearing from you soon.,N
,kontaktieren,contact,"Bitte kontaktieren Sie mich, wenn Sie Fragen haben.",Please contact me if you have any questions.,V
,kontaminiert,contaminated,Das Wasser in diesem Gebiet ist leider kontaminiert.,"Unfortunately, the water in this area is contaminated.",Adj
die,"Kontierung, -en",Accounting,Die Kontierung der Rechnungen muss genau geprüft werden.,The accounting entries for the invoices must be carefully checked.,N
,kontinuierlich,continuously,Wir arbeiten kontinuierlich an der Verbesserung unserer Produkte.,We are continuously working to improve our products.,Adj
,kontrovers,controversial,Dieses Thema wird in der Gesellschaft sehr kontrovers diskutiert.,This topic is being discussed very controversially in society.,Adv
das,"Konzept, -e",Concept,Wir müssen ein neues Konzept für das Marketing entwickeln.,We need to develop a new marketing concept.,N
die,"Kooperation, -en",Cooperation,Die Kooperation mit der Universität ist für uns sehr wichtig.,Cooperation with the university is very important to us.,N
die,"Kooperationsfähigkeit, -en",Cooperation skills,In diesem Beruf ist eine hohe Kooperationsfähigkeit gefragt.,This profession requires a high level of cooperation skills.,N
,kooperativ,cooperative,Die Zusammenarbeit mit den Kollegen war stets kooperativ.,The collaboration with colleagues was always cooperative.,Adj
die,"Korrektheit, -en",Correctness,Bitte überprüfen Sie die Daten auf ihre Korrektheit.,Please check the data for accuracy.,N
die,"Korrektur: Korrektur lesen, -en",Correction: proofreading,"Können Sie diesen Text bitte für mich Korrektur lesen""","Could you please proofread this text for me""",N
,kostengünstig,cost-effective,Wir suchen nach einer kostengünstigen Lösung für das Problem.,We are looking for a cost-effective solution to the problem.,Adj
das,"Krankengeld, -er",Sick pay,Nach sechs Wochen Krankheit bekommt man Krankengeld.,"After six weeks of illness, you receive sick pay.",N
die,"Krankenpflege, -",Nursing,Er macht eine Ausbildung in der Krankenpflege.,He is training to be a nurse.,N
die,"Krankenpflegeausbildung, -",Nursing training,Die Krankenpflegeausbildung dauert in der Regel drei Jahre.,Nursing training usually lasts three years.,N
der/die,"Krankenpfleger/in, -/-nen",Nurse,Der Krankenpfleger kümmert sich sehr gut um die Patienten.,The nurse takes very good care of the patients.,N
,krankenversichern,health insurance,Sie müssen sich in Deutschland krankenversichern.,You must have health insurance in Germany.,V
,krankenversichert,health insurance,"Sind Sie gesetzlich oder privat krankenversichert""","Are you covered by statutory or private health insurance""",Adj
die,"Krankenversicherung, -en",Health insurance,Die Krankenversicherung übernimmt die Kosten für die Behandlung.,The health insurance covers the costs of the treatment.,N
,krankheitsbedingt,due to illness,Er fiel krankheitsbedingt für mehrere Wochen aus.,He was absent for several weeks due to illness.,Adj
der,"Krankheitserreger, -",Pathogens,Diese Krankheitserreger können gefährlich sein.,These pathogens can be dangerous.,N
die,"Krankmeldung, -en",Sick note,Bitte reichen Sie Ihre Krankmeldung rechtzeitig ein.,Please submit your sick note in good time.,N
,krankschreiben,sick note,Der Arzt wird mich wahrscheinlich für eine Woche krankschreiben.,The doctor will probably give me a sick note for a week.,V
die,"Krankschreibung, -en",Sick note,Ich brauche eine Krankschreibung für meinen Arbeitgeber.,I need a sick note for my employer.,N
der,"Kratzer, -",Scratches,Das neue Auto hat leider schon einen Kratzer.,"Unfortunately, the new car already has a scratch.",N
die,"Kreuzfahrt, -en",Cruise,Sie machen eine Kreuzfahrt durch das Mittelmeer.,They are taking a cruise through the Mediterranean.,N
das,"Kriterium, -en",Criterion,"Was ist das wichtigste Kriterium bei der Auswahl""","What is the most important criterion when making a selection""",N
das,"Kriterium, -en",Criterion,Die Note ist nicht das einzige Kriterium für die Einstellung.,The grade is not the only criterion for hiring.,N
,kulant,accommodating,Der Verkäufer zeigte sich bei der Rückgabe sehr kulant.,The seller was very accommodating with the return.,Adj
der/die,"Kundenberater/in, -/-nen",Customer advisor,Unsere Kundenberater stehen Ihnen jederzeit zur Verfügung.,Our customer advisors are available to you at any time.,N
die,"Kundenbewertung, -en",Customer review,Die Kundenbewertungen für dieses Produkt sind sehr gut.,The customer reviews for this product are very good.,N
der,"Kundendienst, -",Customer service,Bitte wenden Sie sich bei Problemen an den Kundendienst.,Please contact customer service if you experience any problems.,N
die,"Kundendienstfirma, -en",Customer service company(ies),Wir haben eine externe Kundendienstfirma beauftragt.,We have hired an external customer service company.,N
der,"Kundennutzen, -",Customer benefits,Der Kundennutzen steht bei uns an erster Stelle.,Customer benefit is our top priority.,N
die,"Kundenorientierung, -en",Customer focus,Eine hohe Kundenorientierung ist für uns sehr wichtig.,A strong customer focus is very important to us.,N
der/das,"Kundenservice, -s",Customer service,Der Kundenservice dieses Unternehmens ist ausgezeichnet.,This company's customer service is excellent.,N
die,"Kündigungsregelung, -en",Termination clause,Bitte beachten Sie die Kündigungsregelungen in Ihrem Vertrag.,Please note the cancellation terms in your contract.,N
der,"Kündigungsschutz, -",Protection against dismissal,Nach der Probezeit gilt der gesetzliche Kündigungsschutz.,"After the probationary period, statutory protection against dismissal applies.",N
,künftig,future,Künftig werden wir noch enger zusammenarbeiten.,"In the future, we will work even more closely together.",Adj
das,"Labor, -s/-e",Laboratory,Die Blutproben werden im Labor untersucht.,The blood samples are examined in the laboratory.,N
der/die,"Laborant/in, -en/-nen",Laboratory technician,Die Laborantin führt die Experimente sorgfältig durch.,The lab technician carries out the experiments carefully.,N
das,"Laborgerät, -e",Laboratory equipment,Diese neuen Laborgeräte sind sehr teuer.,These new laboratory devices are very expensive.,N
der/die,"Labormitarbeiter/in, -/-nen",Laboratory technician,Die Labormitarbeiter müssen strenge Hygienevorschriften einhalten.,Laboratory staff must adhere to strict hygiene regulations.,N
,lackieren,paint,Ich möchte die alten Möbel im Wohnzimmer neu lackieren.,I want to repaint the old furniture in the living room.,V
die,"Ladestation, -en",Charging station,Es gibt hier eine Ladestation für Elektroautos.,There is a charging station for electric cars here.,N
die,"Lagerei, -",Storage,Die Lagerei ist ein wichtiger Teil der Logistik.,Warehousing is an important part of logistics.,N
die,"Lagerkapazität, -en",Storage capacity,Wir müssen unsere Lagerkapazität dringend erweitern.,We urgently need to expand our storage capacity.,N
die,"Lagerlogistik, -",Warehouse logistics,Er arbeitet als Spezialist in der Lagerlogistik.,He works as a specialist in warehouse logistics.,N
der/die,"Lagerlogistiker/in, -/-nen",Warehouse logistics specialist (m/f/d),Die Lagerlogistikerin organisiert den Warenfluss im Lager.,The warehouse logistics specialist organizes the flow of goods in the warehouse.,N
,lagern,store,Die Waren werden in einer großen Halle gelagert.,The goods are stored in a large hall.,V
die,"Land- und Forstwirtschaft, -en",Agriculture and forestry,Die Land- und Forstwirtschaft ist ein wichtiger Wirtschaftszweig.,Agriculture and forestry are important economic sectors.,N
,langfristig,long-term,Wir planen eine langfristige Zusammenarbeit mit dieser Firma.,We are planning a long-term collaboration with this company.,Adj
,langlebig,durable,Dieses Produkt ist sehr robust und langlebig.,This product is very robust and durable.,Adj
die,"Lärmbelästigung, -en",Noise pollution,Die Anwohner klagen über die ständige Lärmbelästigung.,Residents complain about the constant noise pollution.,N
,laufend,ongoing,Wir halten Sie über die laufenden Entwicklungen auf dem Laufenden.,We will keep you updated on ongoing developments.,Adj
die,"Laufzeit, -en",Duration,Die Laufzeit des Vertrages beträgt zwei Jahre.,The contract has a term of two years.,N
,lauten,ring,"Wie lautet Ihre genaue Adresse""","What is your exact address""",V
die,"Lautsprecheranlage, -n",Loudspeaker system,Die Durchsage kam über die Lautsprecheranlage.,The announcement was made over the loudspeaker system.,N
das,"Layout, -s",Layout,Das Layout der neuen Zeitschrift gefällt mir sehr gut.,I really like the layout of the new magazine.,N
,lebendig,lively,Die Diskussion war sehr lebendig und interessant.,The discussion was very lively and interesting.,Adj
,lediglich,only,Ich habe lediglich eine kurze Frage an Sie.,I just have a quick question for you.,Adj
der,"Lehrbuchverlag, -e",Textbook publisher,Er arbeitet als Redakteur bei einem großen Lehrbuchverlag.,He works as an editor at a large textbook publisher.,N
das,"Lehren, -",Teachings,Das Lehren an der Universität macht ihm viel Spaß.,He really enjoys teaching at the university.,N
der/die,"Lehrende, -n",Teachers,Die Lehrenden an dieser Schule sind sehr engagiert.,The teachers at this school are very dedicated.,N
der,"Lehrplan, -ä-e",Curriculum,Der neue Lehrplan sieht mehr Praxisunterricht vor.,The new curriculum includes more practical teaching.,N
das,"Lehrwerk, -e",Textbook,Wir arbeiten in diesem Kurs mit einem neuen Lehrwerk.,"In this course, we are using a new textbook.",N
,leichtfallen,easy,Das Lernen von Fremdsprachen ist mir immer leichtgefallen.,Learning foreign languages ​​has always been easy for me.,V
die,"Leistungsbereitschaft, -en",Willingness to perform,Wir erwarten von unseren Mitarbeitern eine hohe Leistungsbereitschaft.,We expect a high level of commitment from our employees.,N
der,"Leistungsdruck, -",Performance pressure,Der Leistungsdruck in unserer Gesellschaft nimmt immer weiter zu.,The pressure to perform in our society is constantly increasing.,N
,leistungsfähig,efficient,Dieser Computer ist besonders leistungsfähig.,This computer is particularly powerful.,Adj
die,"Leistungsgrenze, -n",Performance limit,Bei diesem Projekt bin ich an meine Leistungsgrenze gestoßen.,This project pushed me to my performance limits.,N
,leistungsstark,high-performance,Wir suchen einen leistungsstarken Motor für das neue Auto.,We are looking for a high-performance engine for the new car.,Adv
der,"Leitfaden, -ä",Guide,Dieser Leitfaden hilft Ihnen bei der Erstellung des Berichts.,This guide will help you create the report.,N
die,"Lesbarkeit, -",Readability,Eine große Schriftart verbessert die Lesbarkeit des Textes.,A large font size improves the readability of the text.,N
der/die,"Lieferant/in, -en/-nen",Supplier,Wir müssen einen neuen Lieferanten für dieses Material finden.,We need to find a new supplier for this material.,N
die,"Lieferfrist, -en",Delivery time,Die Lieferfrist für diese Möbel beträgt sechs Wochen.,The delivery time for this furniture is six weeks.,N
der,"Lieferschein, -e",Delivery note,Bitte unterschreiben Sie den Lieferschein bei Erhalt der Ware.,Please sign the delivery note upon receipt of the goods.,N
der/das,"Lieferservice, -",Delivery service,Wir haben Essen bei einem Lieferservice bestellt.,We ordered food from a delivery service.,N
die,"Liefersicherheit, -en",Delivery security,Liefersicherheit ist für unsere Produktion extrem wichtig.,Reliable delivery is extremely important for our production.,N
die,"Lieferverzögerung, -en",Delivery delay,Wegen eines Streiks kam es zu Lieferverzögerungen.,Delivery delays occurred due to a strike.,N
die,"Lieferzeit, -en",Delivery time,Die Lieferzeit für dieses Produkt ist sehr kurz.,The delivery time for this product is very short.,N
die,"Logistik, -",Logistics,Die Logistik für dieses große Event war eine Herausforderung.,The logistics for this large event were a challenge.,N
der,"Lohnersatz, -",Wage replacement,Das Krankengeld dient als Lohnersatz während der Krankheit.,Sickness benefits serve as wage replacement during illness.,N
die,"Lohnersatzleistung, -en",Wage replacement benefit,Arbeitslosengeld ist eine Form der Lohnersatzleistung.,Unemployment benefits are a form of wage replacement benefit.,N
die,"Lohnsteuer, -n",Income tax,Die Lohnsteuer wird direkt vom Gehalt abgezogen.,Income tax is deducted directly from the salary.,N
,lokal,local,Wir unterstützen gerne lokale Unternehmen in unserer Stadt.,We are happy to support local businesses in our city.,Adj
die,"Lotion, -en/-s",Lotion,Diese Lotion ist besonders gut für trockene Haut.,This lotion is especially good for dry skin.,N
,lüften,ventilate,Man sollte die Räume regelmäßig gut lüften.,The rooms should be well ventilated regularly.,V
die,"Luftfracht, -en",Air freight,Die Waren wurden per Luftfracht transportiert.,The goods were transported by air freight.,N
die,"Luftverschmutzung, -en",Air pollution,Die Luftverschmutzung in der Stadt ist ein großes Problem.,Air pollution in the city is a major problem.,N
,luxuriös,luxurious,Sie verbrachten ihren Urlaub in einem luxuriösen Hotel.,They spent their vacation in a luxury hotel.,Adj
,mailen,email,Ich werde Ihnen die Unterlagen heute noch mailen.,I will email you the documents today.,V
der/die,"Makler/in, -/-nen",Real estate agent,Der Makler hat uns eine schöne Wohnung gezeigt.,The real estate agent showed us a beautiful apartment.,N
die,"Mängelbeseitigung, -en",Rectification of defects,Die Mängelbeseitigung muss innerhalb von zwei Wochen erfolgen.,The defects must be rectified within two weeks.,N
,mangels,lack of,Mangels Beweisen wurde das Verfahren eingestellt.,The proceedings were discontinued due to lack of evidence.,Prep
das,"Marketing, -",Marketing,Sie arbeitet in der Marketing-Abteilung eines großen Unternehmens.,She works in the marketing department of a large company.,N
der,"Maschinenbau, -",Mechanical engineering,Er studiert Maschinenbau an der technischen Universität.,He is studying mechanical engineering at the technical university.,N
die,"Massage, -n",Massage,Nach dem Sport tut eine entspannende Massage gut.,A relaxing massage is good after sports.,N
,maßgeblich,significantly,Er war maßgeblich an der Entwicklung dieses Produkts beteiligt.,He played a key role in the development of this product.,Adj
,massiv,solid,Die Preise für Immobilien sind massiv gestiegen.,Real estate prices have risen massively.,Adj
die,"Maßnahme, -n",Measures,Die Regierung hat neue Maßnahmen zur Bekämpfung der Krise beschlossen.,The government has decided on new measures to combat the crisis.,N
die,"Mechanik, -en",Mechanics,Er interessiert sich sehr für die Mechanik von Autos.,He is very interested in the mechanics of cars.,N
die,"Meckerei, -en",Complaint,Diese ständige Meckerei im Büro nervt mich.,This constant complaining in the office is getting on my nerves.,N
die,"Medikamentenversorgung, -",Medication supply,Die Medikamentenversorgung in den Krankenhäusern muss gesichert sein.,The supply of medication in hospitals must be guaranteed.,N
,medizinisch,medical,Er braucht dringend medizinische Hilfe.,He urgently needs medical help.,Adj
das,"Meeting, -s",Meeting,Das Meeting beginnt um 10 Uhr im Konferenzraum.,The meeting starts at 10 a.m. in the conference room.,N
die,"Mehrwertsteuer (MwSt.), -n",Value Added Tax (VAT),Die Mehrwertsteuer ist im Preis bereits enthalten.,The price already includes VAT.,N
die,"Meinungsverschiedenheit, -en",Disagreement,Es gab eine kleine Meinungsverschiedenheit zwischen uns.,There was a minor disagreement between us.,N
,meistern,master,Sie hat diese schwierige Aufgabe hervorragend gemeistert.,She mastered this difficult task superbly.,V
das,"Merkmal, -e",Characteristic,Ein besonderes Merkmal dieses Vogels ist sein bunter Schnabel.,A distinctive feature of this bird is its colorful beak.,N
der,"Messestand, -ä-e",Exhibition stand,Unser Messestand zog viele Besucher an.,Our booth attracted many visitors.,N
die,"Messmethode, -n",Measurement method,Diese Messmethode ist sehr genau und zuverlässig.,This measurement method is very accurate and reliable.,N
die,"Messtechnik, -en",Measurement technology,Die moderne Messtechnik ermöglicht präzise Ergebnisse.,Modern measurement technology enables precise results.,N
die,"Messung, -en",Measurement,Die Messung der Temperatur erfolgt stündlich.,The temperature is measured hourly.,N
der,"Mietpreis, -e",Rent,Die Mietpreise in dieser Stadt sind sehr hoch.,Rental prices in this city are very high.,N
die,"Mietschulden, -",Rent arrears,Er hat hohe Mietschulden angehäuft.,He has accumulated large rent arrears.,N
der,"Mindestlohn, -ö-e",Minimum wage,Der gesetzliche Mindestlohn wurde in diesem Jahr erhöht.,The statutory minimum wage was increased this year.,N
die,"Mindestraumhöhe, -n",Minimum ceiling height,Die Mindestraumhöhe für Büros ist gesetzlich vorgeschrieben.,The minimum ceiling height for offices is legally mandated.,N
der,"Minijob, -s",Part-time job,Neben dem Studium arbeitet sie in einem Minijob.,She works a part-time job alongside her studies.,N
die,"Mitarbeit, -",Collaboration,Wir danken Ihnen für Ihre gute Mitarbeit an diesem Projekt.,We thank you for your excellent cooperation on this project.,N
,mitbestimmen,have a say,Die Mitarbeiter dürfen bei dieser Entscheidung mitbestimmen.,Employees are allowed to have a say in this decision.,V
die,"Mitbestimmung, -en",Co-determination,Die Mitbestimmung im Betrieb ist gesetzlich geregelt.,Employee participation in the workplace is regulated by law.,N
der/die,"Mitbewohner/in, -/-nen",Roommate,Mein Mitbewohner räumt immer die Küche auf.,My roommate always cleans the kitchen.,N
die,"Mitgliedschaft, -en",Membership,Meine Mitgliedschaft im Fitnessstudio läuft bald ab.,My gym membership is about to expire.,N
der,"Mitmensch, -en",Fellow human being,Wir sollten stets Rücksicht auf unsere Mitmenschen nehmen.,We should always be considerate of our fellow human beings.,N
,mitreden,have a say,Bei diesem Thema kann ich leider nicht mitreden.,"Unfortunately, I can't contribute to this discussion.",V
das,"Mitspracherecht, -e",Right to have a say,Die Auszubildenden haben ein Mitspracherecht im Unternehmen.,The trainees have a say in the company.,N
der,"Mittagsschlaf, -",Midday nap,Ein kurzer Mittagsschlaf gibt mir neue Energie.,A short nap gives me new energy.,N
die,"Mitteilung, -en",Message,Ich habe heute eine wichtige Mitteilung von der Bank erhalten.,I received an important message from the bank today.,N
,mittelständisch,medium-sized,Er arbeitet in einem mittelständischen Unternehmen.,He works in a medium-sized company.,Adj
die,"Möbelfabrik, -en",Furniture factory,Die neue Möbelfabrik produziert sehr nachhaltig.,The new furniture factory produces in a very sustainable way.,N
das,"Möbelhaus, -ä-er",Furniture storer,"Am Wochenende fahren wir ins Möbelhaus, um ein Sofa zu kaufen.",We're going to the furniture store this weekend to buy a sofa.,N
,modernisieren,modernize,Wir müssen unsere IT-Systeme dringend modernisieren.,We urgently need to modernize our IT systems.,V
das,"Modul, -e",Module,Dieses Modul ist ein wichtiger Bestandteil des Studiums.,This module is an important part of the study program.,N
der,"Monatsverdienst, -e",Monthly earnings,Sein durchschnittlicher Monatsverdienst liegt bei 3000 Euro.,His average monthly salary is 3000 euros.,N
die,"Montage, -n",Assembly,Die Montage der Anlage dauert voraussichtlich drei Tage.,The installation of the system is expected to take three days.,N
der/die,"Monteur/in, -e/-nen",Fitter,Der Monteur hat die Heizung schnell repariert.,The technician quickly repaired the heating system.,N
,montieren,assemble,Wir müssen das Regal noch an der Wand montieren.,We still need to mount the shelf on the wall.,V
das,"Motiv, -e",Motif,Das Motiv für die Tat ist bisher noch unklar.,The motive for the crime is still unclear.,N
,mühsam,tedious,"Es war sehr mühsam, alle Daten manuell einzugeben.",It was very tedious to enter all the data manually.,Adj
der,"Multimedia-Inhalt, -e",Multimedia content,Die Website bietet viele interaktive Multimedia-Inhalte.,The website offers a lot of interactive multimedia content.,N
das,"Multimedia, -",Multimedia,Multimedia spielt im modernen Unterricht eine große Rolle.,Multimedia plays a major role in modern teaching.,N
,musizieren,make music,Gemeinsames Musizieren fördert die Kreativität.,Playing music together fosters creativity.,V
die,"Mutter, -n",Mother,Du musst die Mutter noch fester anziehen.,You need to tighten the mother even more.,N
die,"Nabe, -n",Hub,Die Nabe des Fahrrads muss regelmäßig geölt werden.,The bicycle hub needs to be oiled regularly.,N
die,"Nacharbeit, -en",Rework,Wegen des Fehlers war viel Nacharbeit erforderlich.,"Because of the error, a lot of rework was required.",N
,nachbessern,improve,Der Handwerker muss bei den Fugen noch einmal nachbessern.,The craftsman needs to make some more adjustments to the joints.,V
die,"Nachbesserung, -en",Improvement,Der Kunde forderte eine sofortige Nachbesserung der Mängel.,The customer demanded immediate rectification of the defects.,N
,nachbestellen,reorder,Wir müssen dringend neues Druckerpapier nachbestellen.,We urgently need to order more printer paper.,V
,nachfolgend,following,Die nachfolgenden Punkte sind besonders wichtig.,The following points are particularly important.,Adj
,nachfragen,ask,"Wenn du etwas nicht verstehst, solltest du unbedingt nachfragen.","If you don't understand something, you should definitely ask.",V
